Experiment	Z spectroscopy	
Saved Date	07.11.2019 11:25:12	
User		
X (m)	5.00196E-6	
Y (m)	-1.45144E-6	
Z (m)	-108.824E-9	
Z offset (m)	10E-9	
Z sweep distance (m)	30E-9	
Settling time (s)	200E-6	
Integration time (s)	100E-6	
Final Z (m)	N/A	
Start time	07.11.2019 11:24:49	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Z rel (m)	Vert. Deflection (V)	OC D1 Phase (deg)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	Vert. Deflection [bwd] (V)	OC D1 Phase [bwd] (deg)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)
-4.4705883E-9	383.51950E-3	85.544861E+0	330.50451E-12	305.17578E+0	1.1522664E+0	-75.071465E+0	25.873179E-12	-169.37047E+0
-4.5882356E-9	407.47070E-3	91.792755E+0	139.17900E-12	292.92648E+0	1.1249455E+0	51.126488E+0	17.639007E-12	-127.03506E+0
-4.7058828E-9	444.04906E-3	92.451500E+0	106.28434E-12	303.13834E+0	1.0995138E+0	-51.064060E+0	17.005043E-12	-153.15222E+0
-4.8235291E-9	504.69106E-3	79.304123E+0	69.974707E-12	280.97122E+0	1.0767089E+0	-48.462440E+0	13.027603E-12	-142.43402E+0
-4.9411772E-9	654.71500E-3	75.690605E+0	43.006647E-12	178.33672E+0	1.0527720E+0	-65.934219E+0	20.691218E-12	-212.59569E+0
-5.0588236E-9	715.00754E-3	101.00216E+0	33.351495E-12	219.23749E+0	1.0385269E+0	-22.302906E+0	18.870003E-12	-170.21407E+0
-5.1764699E-9	811.33473E-3	-19.886862E+0	18.429010E-12	151.67337E+0	1.0143666E+0	-13.490926E+0	11.380165E-12	-166.31390E+0
-5.2941180E-9	853.20181E-3	60.922779E+0	20.085092E-12	172.84558E+0	982.42742E-3	-46.095192E+0	13.401820E-12	-157.31569E+0
-5.4117644E-9	831.95800E-3	51.822063E+0	18.446524E-12	154.17587E+0	956.48754E-3	57.447609E+0	29.191982E-12	-146.85225E+0
-5.5294125E-9	807.31964E-3	-8.1653929E+0	16.315687E-12	140.63025E+0	934.05151E-3	-94.948486E+0	10.306742E-12	-169.61304E+0
-5.6470588E-9	802.91748E-3	-113.45002E+0	20.746993E-12	133.81047E+0	907.02260E-3	-39.833004E+0	18.475638E-12	-165.55994E+0
-5.7647052E-9	800.26448E-3	60.943127E+0	16.439076E-12	153.72147E+0	881.11877E-3	50.535633E+0	14.356879E-12	-112.21407E+0
-5.8823533E-9	771.24733E-3	59.629063E+0	17.508018E-12	143.60847E+0	873.10284E-3	2.8045909E+0	18.915262E-12	-224.35507E+0
