Experiment	bias spectroscopy	
Saved Date	07.11.2019 10:33:29	
User		
Date		
X (m)	5.06156E-6	
Y (m)	-1.36687E-6	
Z (m)	-59.6553E-9	
Z offset (m)	0E+0	
Settling time (s)	200E-6	
Integration time (s)	100E-6	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	07.11.2019 10:32:54	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Bias calc (V)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)
349.01965E-3	41.213532E-9	-35.740902E+0	41.535959E-9	-36.391502E+0
356.86278E-3	41.213486E-9	-35.095406E+0	41.545945E-9	-35.786018E+0
364.70592E-3	41.217852E-9	-34.698544E+0	41.554038E-9	-35.210403E+0
372.54906E-3	41.222513E-9	-35.201618E+0	41.556085E-9	-36.501553E+0
380.39219E-3	41.231001E-9	-35.316261E+0	41.559556E-9	-36.122692E+0
388.23533E-3	41.233619E-9	-34.994823E+0	41.566860E-9	-34.630341E+0
396.07847E-3	41.239478E-9	-34.650970E+0	41.566668E-9	-34.841679E+0
403.92160E-3	41.248406E-9	-35.131439E+0	41.566416E-9	-36.014809E+0
411.76474E-3	41.256087E-9	-34.339512E+0	41.565425E-9	-34.881599E+0
419.60788E-3	41.258634E-9	-34.060211E+0	41.563222E-9	-34.640869E+0
427.45101E-3	41.264364E-9	-35.134396E+0	41.564043E-9	-34.879574E+0
435.29415E-3	41.273502E-9	-34.995159E+0	41.560089E-9	-35.162872E+0
443.13729E-3	41.283702E-9	-33.827595E+0	41.553339E-9	-34.517353E+0
450.98042E-3	41.291969E-9	-35.058998E+0	41.555079E-9	-34.661179E+0
458.82356E-3	41.287375E-9	-36.116440E+0	41.558113E-9	-34.901821E+0
466.66670E-3	41.295472E-9	-34.914135E+0	41.549516E-9	-34.885468E+0
474.50984E-3	41.303192E-9	-33.887325E+0	41.547448E-9	-34.321823E+0
482.35297E-3	41.305771E-9	-34.811081E+0	41.549587E-9	-35.462975E+0
490.19611E-3	41.311644E-9	-34.926178E+0	41.551605E-9	-35.200352E+0
498.03925E-3	41.323180E-9	-34.034519E+0	41.551061E-9	-34.273281E+0
505.88250E-3	41.332221E-9	-34.497501E+0	41.541817E-9	-34.350586E+0
513.72564E-3	41.337088E-9	-34.663975E+0	41.541217E-9	-35.626556E+0
521.56878E-3	41.342879E-9	-34.698292E+0	41.541316E-9	-35.084217E+0
529.41191E-3	41.352980E-9	-34.111095E+0	41.537263E-9	-33.721851E+0
537.25505E-3	41.363833E-9	-34.674679E+0	41.526739E-9	-34.463188E+0
545.09819E-3	41.358529E-9	-35.525604E+0	41.526526E-9	-35.338470E+0
552.94132E-3	41.363961E-9	-34.101650E+0	41.528818E-9	-34.450363E+0
560.78446E-3	41.371198E-9	-34.221691E+0	41.523638E-9	-34.253674E+0
568.62760E-3	41.382538E-9	-34.992401E+0	41.515921E-9	-34.690147E+0
576.47073E-3	41.387363E-9	-34.478638E+0	41.510805E-9	-35.274372E+0
584.31387E-3	41.391679E-9	-34.152889E+0	41.505636E-9	-34.419334E+0
592.15701E-3	41.401051E-9	-34.468414E+0	41.494520E-9	-34.399506E+0
600.00014E-3	41.412346E-9	-35.345379E+0	41.491852E-9	-35.595703E+0
607.84328E-3	41.413404E-9	-34.921680E+0	41.488956E-9	-34.686985E+0
615.68642E-3	41.416566E-9	-34.819744E+0	41.484611E-9	-34.290474E+0
623.52955E-3	41.417461E-9	-35.968018E+0	41.476873E-9	-34.935940E+0
631.37269E-3	41.424343E-9	-34.948467E+0	41.467892E-9	-34.989342E+0
639.21583E-3	41.422233E-9	-35.179615E+0	41.463707E-9	-33.960510E+0
