Experiment	Z spectroscopy	
Saved Date	07.11.2019 11:24:04	
User		
X (m)	5.00196E-6	
Y (m)	-1.45144E-6	
Z (m)	-107.146E-9	
Z offset (m)	10E-9	
Z sweep distance (m)	30E-9	
Settling time (s)	200E-6	
Integration time (s)	100E-6	
Final Z (m)	N/A	
Start time	07.11.2019 11:23:53	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Z rel (m)	Vert. Deflection (V)	OC D1 Phase (deg)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	Vert. Deflection [bwd] (V)	OC D1 Phase [bwd] (deg)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)
-2.3529410E-9	103.57819E-3	-558.55006E-3	58.651889E-9	-120.98593E+0	1.8205551E+0	-22.150316E+0	30.752581E-12	-176.40779E+0
-2.4705882E-9	111.91762E-3	-934.28129E-3	57.195045E-9	-146.81537E+0	1.7862560E+0	-36.931160E+0	16.053997E-12	-179.53554E+0
-2.5882354E-9	114.16169E-3	-1.0189490E+0	55.222163E-9	-162.36790E+0	1.7780894E+0	-30.000528E+0	16.422018E-12	-200.69388E+0
-2.7058826E-9	110.68319E-3	-913.30034E-3	53.588156E-9	-157.30908E+0	1.7670472E+0	-36.605202E+0	19.574481E-12	-179.44775E+0
-2.8235299E-9	113.60423E-3	-1.0824559E+0	52.012506E-9	-176.73439E+0	1.7424459E+0	-50.937958E+0	54.569172E-12	-253.03001E+0
-2.9411762E-9	115.42410E-3	-1.3257637E+0	50.193766E-9	-190.15404E+0	1.7073146E+0	-71.051460E+0	13.342902E-12	-197.51456E+0
-3.0588234E-9	118.69049E-3	-1.8564634E+0	47.840533E-9	-229.33098E+0	1.6782675E+0	-27.684765E+0	31.809458E-12	-179.00757E+0
-3.1764706E-9	111.39578E-3	-1.2378428E+0	45.578890E-9	-198.49344E+0	1.6512213E+0	40.850201E+0	11.866221E-12	-129.42834E+0
-3.2941179E-9	105.55572E-3	-786.32885E-3	43.471214E-9	-162.80418E+0	1.6310160E+0	-68.875999E+0	23.841030E-12	-204.78548E+0
-3.4117651E-9	108.32214E-3	-808.72428E-3	41.283410E-9	-167.22893E+0	1.6115484E+0	-79.705360E+0	33.129121E-12	-245.26956E+0
