Experiment	Z spectroscopy	
Saved Date	05.02.2020 13:47:10	
User		
X (m)	1.12911E-6	
Y (m)	1.00575E-6	
Z (m)	-269.562E-9	
Z offset (m)	10E-9	
Z sweep distance (m)	35E-9	
Settling time (s)	200E-6	
Integration time (s)	100E-6	
Final Z (m)	N/A	
Start time	05.02.2020 13:46:52	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Z rel (m)	Vert. Deflection (V)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	Vert. Deflection [bwd] (V)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)
-5.3725495E-9	159.51842E-3	3.7592613E-9	-152.58789E+0	167.36247E-3	25.988945E-12	144.43616E+0
-5.5098033E-9	159.54997E-3	3.6907069E-9	-152.58789E+0	171.36790E-3	13.697800E-12	135.24214E+0
-5.6470588E-9	159.38771E-3	3.6200960E-9	-152.58789E+0	170.34200E-3	13.609620E-12	81.133324E+0
-5.7843144E-9	160.26051E-3	3.5221619E-9	-152.58789E+0	170.67769E-3	26.609073E-12	74.549065E+0
-5.9215681E-9	159.79767E-3	3.4178531E-9	-152.58789E+0	169.18640E-3	18.829027E-12	116.63388E+0
-6.0588237E-9	158.89740E-3	3.3040775E-9	-152.58789E+0	168.65845E-3	20.867520E-12	137.80441E+0
-6.1960792E-9	159.54082E-3	3.1862275E-9	-152.58789E+0	170.87860E-3	12.000553E-12	117.67238E+0
-6.3333330E-9	160.45736E-3	3.0588323E-9	-152.58789E+0	170.02462E-3	19.516480E-12	135.09129E+0
-6.4705885E-9	160.78644E-3	2.9006406E-9	-152.58789E+0	166.89657E-3	14.933688E-12	107.05527E+0
-6.6078440E-9	159.89023E-3	2.7385714E-9	-152.58789E+0	168.40567E-3	23.500162E-12	149.53091E+0
-6.7450978E-9	159.98077E-3	2.5585030E-9	-152.58789E+0	168.54247E-3	11.255963E-12	120.77167E+0
-6.8823534E-9	161.21674E-3	2.3619997E-9	-152.58789E+0	173.60993E-3	11.246882E-12	91.529190E+0
-7.0196071E-9	160.22949E-3	2.1462061E-9	-152.58789E+0	172.56062E-3	19.514777E-12	85.775917E+0
-7.1568627E-9	159.97314E-3	1.9172384E-9	-152.58789E+0	172.66591E-3	14.981846E-12	103.80246E+0
-7.2941182E-9	160.20761E-3	1.6938378E-9	-152.58789E+0	173.29204E-3	17.528642E-12	80.276382E+0
-7.4313720E-9	160.54077E-3	1.4653604E-9	-152.58789E+0	173.08451E-3	11.090566E-12	80.217361E+0
-7.5686275E-9	160.85611E-3	1.2283449E-9	-152.58789E+0	171.85822E-3	8.8807963E-12	22.871016E+0
-7.7058830E-9	160.65471E-3	999.21638E-12	-152.58789E+0	171.12783E-3	14.899285E-12	92.572975E+0
-7.8431368E-9	160.14202E-3	800.66981E-12	3.5017364E+0	171.47726E-3	6.9097423E-12	16.419518E+0
-7.9803923E-9	160.50008E-3	694.57923E-12	118.59358E+0	176.46179E-3	12.555766E-12	22.882368E+0
-8.1176479E-9	160.68318E-3	726.60611E-12	152.58789E+0	181.96768E-3	8.1012965E-12	34.877922E+0
-8.2549017E-9	159.99755E-3	859.21642E-12	-116.97616E+0	180.54047E-3	6.5101973E-12	-21.649834E+0
