Experiment	bias spectroscopy	
Saved Date	06.11.2019 10:20:20	
User		
Date		
X (m)	-3.0725E-6	
Y (m)	3.07822E-6	
Z (m)	-317.759E-9	
Z offset (m)	0E+0	
Settling time (s)	200E-6	
Integration time (s)	100E-6	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	06.11.2019 10:19:49	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Bias calc (V)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)
105.88241E-3	110.14977E-9	-12.007479E+0	110.03662E-9	-10.650068E+0
113.72554E-3	110.15714E-9	-10.696503E+0	110.03467E-9	-11.077612E+0
121.56868E-3	110.17187E-9	-10.775492E+0	110.03267E-9	-12.379870E+0
129.41182E-3	110.18701E-9	-11.470683E+0	110.02855E-9	-12.446225E+0
137.25495E-3	110.17156E-9	-12.692658E+0	110.03485E-9	-11.183039E+0
145.09809E-3	110.17297E-9	-10.854619E+0	110.03679E-9	-11.304918E+0
152.94123E-3	110.17146E-9	-11.744607E+0	110.03790E-9	-12.070269E+0
160.78436E-3	110.17134E-9	-12.353765E+0	110.03682E-9	-12.063694E+0
168.62750E-3	110.16437E-9	-12.269258E+0	110.03635E-9	-11.425979E+0
176.47064E-3	110.15781E-9	-11.261526E+0	110.03539E-9	-12.205725E+0
184.31377E-3	110.15673E-9	-12.181688E+0	110.03296E-9	-12.694067E+0
192.15691E-3	110.15666E-9	-12.922344E+0	110.03240E-9	-11.027038E+0
200.00005E-3	110.15251E-9	-11.642389E+0	110.03061E-9	-11.334191E+0
207.84318E-3	110.14599E-9	-11.890270E+0	110.01404E-9	-12.163584E+0
215.68632E-3	110.14782E-9	-12.259872E+0	110.00942E-9	-12.013254E+0
223.52946E-3	110.14706E-9	-12.832079E+0	110.01197E-9	-11.285807E+0
231.37259E-3	110.14187E-9	-11.282347E+0	110.01392E-9	-12.037777E+0
239.21573E-3	110.12890E-9	-12.359289E+0	110.01825E-9	-13.157635E+0
247.05887E-3	110.13375E-9	-12.769656E+0	110.02738E-9	-12.238695E+0
254.90201E-3	110.13447E-9	-12.643663E+0	110.03404E-9	-10.716839E+0
262.74514E-3	110.12452E-9	-11.583020E+0	110.02432E-9	-11.763935E+0
