Experiment	Z spectroscopy	
Saved Date	07.11.2019 11:22:35	
User		
X (m)	5.00196E-6	
Y (m)	-1.45144E-6	
Z (m)	-98.1261E-9	
Z offset (m)	10E-9	
Z sweep distance (m)	30E-9	
Settling time (s)	200E-6	
Integration time (s)	100E-6	
Final Z (m)	N/A	
Start time	07.11.2019 11:21:39	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Z rel (m)	Vert. Deflection (V)	OC D1 Phase (deg)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	Vert. Deflection [bwd] (V)	OC D1 Phase [bwd] (deg)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)
-6.9411756E-9	340.51105E-3	75.154602E+0	403.96786E-12	305.17578E+0	1.1730845E+0	-62.839485E+0	22.134640E-12	-207.38432E+0
-7.0588237E-9	369.98191E-3	83.293785E+0	269.90996E-12	305.17578E+0	1.1548132E+0	35.470173E+0	20.641220E-12	-131.82756E+0
-7.1764701E-9	386.86877E-3	95.142761E+0	176.72573E-12	303.13013E+0	1.1388677E+0	-140.44142E+0	13.900965E-12	-166.43752E+0
-7.2941182E-9	402.27154E-3	95.097939E+0	143.16988E-12	301.08060E+0	1.1190271E+0	-22.153980E+0	29.579846E-12	-182.32123E+0
-7.4117645E-9	421.08968E-3	91.087440E+0	152.71832E-12	294.97827E+0	1.0861222E+0	-8.8570518E+0	37.029536E-12	-169.62796E+0
-7.5294126E-9	447.73203E-3	72.687714E+0	126.75724E-12	303.14093E+0	1.0567988E+0	-18.076351E+0	17.083255E-12	-175.14528E+0
-7.6470590E-9	498.48226E-3	65.029984E+0	50.104788E-12	231.20715E+0	1.0228531E+0	-81.319298E+0	24.798694E-12	-200.37270E+0
-7.7647053E-9	519.68181E-3	105.63040E+0	31.970166E-12	200.68144E+0	1.0005574E+0	6.6668930E+0	23.479775E-12	-132.74472E+0
-7.8823534E-9	553.38389E-3	74.893661E+0	44.540455E-12	222.14891E+0	981.08572E-3	-22.303541E+0	24.198327E-12	-166.08817E+0
-7.9999998E-9	565.98103E-3	10.927780E+0	9.2356418E-12	153.31261E+0	951.02489E-3	14.388024E+0	35.768923E-12	-110.53764E+0
-8.1176479E-9	599.95627E-3	130.64508E+0	19.651895E-12	180.67609E+0	927.08743E-3	6.3166823E+0	23.802642E-12	-153.68347E+0
-8.2352942E-9	617.47897E-3	41.849541E+0	18.860052E-12	162.53384E+0	906.90714E-3	26.050871E+0	14.623290E-12	-121.68803E+0
-8.3529406E-9	645.35928E-3	-19.336620E+0	19.892843E-12	133.61250E+0	868.86901E-3	-45.965370E+0	22.836845E-12	-185.84775E+0
-8.4705887E-9	663.01829E-3	-69.299271E+0	21.344978E-12	119.87150E+0	843.82987E-3	-89.571968E+0	24.564758E-12	-198.47763E+0
-8.5882350E-9	665.03549E-3	78.413788E+0	31.662159E-12	147.16611E+0	836.96747E-3	42.767456E+0	12.239008E-12	-137.73457E+0
-8.7058831E-9	670.77029E-3	-24.000017E+0	30.442048E-12	128.40366E+0	819.93049E-3	14.272291E+0	15.860022E-12	-112.62543E+0
-8.8235295E-9	674.16584E-3	-87.938583E+0	18.551934E-12	71.678841E+0	774.45018E-3	-50.996021E+0	34.643254E-12	-200.97623E+0
-8.9411758E-9	656.05468E-3	120.03908E+0	9.6824276E-12	149.69452E+0	744.82524E-3	-63.849827E+0	26.452620E-12	-196.14751E+0
-9.0588239E-9	626.00964E-3	-33.774654E+0	32.302435E-12	64.343292E+0	734.40653E-3	-76.794891E+0	21.589846E-12	-179.73996E+0
