Experiment	bias spectroscopy	
Saved Date	07.11.2019 11:27:29	
User		
Date		
X (m)	5.00196E-6	
Y (m)	-1.45144E-6	
Z (m)	-103.169E-9	
Z offset (m)	0E+0	
Settling time (s)	200E-6	
Integration time (s)	100E-6	
Z-Ctrl hold	TRUE	
Final Z (m)	N/A	
Start time	07.11.2019 11:27:02	
Filter type	None	
Order		
Cutoff frq		

[DATA]
Bias calc (V)	OC D1 Amplitude (m)	OC M1 Freq. Shift (Hz)	OC D1 Amplitude [bwd] (m)	OC M1 Freq. Shift [bwd] (Hz)
-43.137193E-3	19.810168E-9	-42.391941E+0	20.238701E-9	-42.269600E+0
-35.294056E-3	19.818073E-9	-42.146141E+0	20.241785E-9	-41.614857E+0
-27.450919E-3	19.824769E-9	-41.812511E+0	20.245837E-9	-42.016052E+0
-19.607782E-3	19.830106E-9	-42.079624E+0	20.248782E-9	-42.110046E+0
-11.764646E-3	19.837284E-9	-41.462616E+0	20.246578E-9	-41.709820E+0
-3.9215088E-3	19.843972E-9	-40.787567E+0	20.250353E-9	-40.909397E+0
3.9216280E-3	19.849180E-9	-40.683434E+0	20.250527E-9	-41.536663E+0
11.764765E-3	19.858087E-9	-41.864452E+0	20.251369E-9	-41.127666E+0
19.607902E-3	19.868059E-9	-40.870995E+0	20.254298E-9	-40.144154E+0
27.451038E-3	19.876213E-9	-39.910763E+0	20.257353E-9	-40.031082E+0
35.294175E-3	19.880524E-9	-40.674034E+0	20.255678E-9	-41.443829E+0
43.137312E-3	19.884153E-9	-41.070263E+0	20.255603E-9	-40.773201E+0
50.980449E-3	19.889884E-9	-39.178043E+0	20.256362E-9	-39.274490E+0
58.823586E-3	19.895149E-9	-39.243622E+0	20.261657E-9	-39.824802E+0
66.666722E-3	19.900796E-9	-39.689262E+0	20.260540E-9	-40.118824E+0
74.509859E-3	19.904334E-9	-40.199932E+0	20.262744E-9	-39.055408E+0
82.352996E-3	19.915877E-9	-39.730015E+0	20.263238E-9	-39.377594E+0
90.196133E-3	19.923005E-9	-38.861103E+0	20.264229E-9	-40.155163E+0
98.039269E-3	19.929930E-9	-39.188374E+0	20.261329E-9	-40.133610E+0
105.88241E-3	19.935419E-9	-39.403313E+0	20.264094E-9	-39.538948E+0
113.72554E-3	19.938698E-9	-39.128056E+0	20.268651E-9	-38.646824E+0
121.56868E-3	19.940778E-9	-39.298866E+0	20.268473E-9	-39.710606E+0
129.41182E-3	19.946892E-9	-38.520969E+0	20.265894E-9	-37.559856E+0
137.25495E-3	19.951482E-9	-38.948196E+0	20.268198E-9	-38.686939E+0
145.09809E-3	19.958145E-9	-38.784443E+0	20.268102E-9	-38.925129E+0
152.94123E-3	19.961753E-9	-39.097946E+0	20.269209E-9	-38.726360E+0
160.78436E-3	19.967814E-9	-38.131134E+0	20.276302E-9	-37.130112E+0
168.62750E-3	19.974923E-9	-36.982124E+0	20.276996E-9	-37.589684E+0
176.47064E-3	19.978890E-9	-38.491440E+0	20.274456E-9	-38.361477E+0
184.31377E-3	19.987695E-9	-38.404152E+0	20.276405E-9	-37.983730E+0
192.15691E-3	19.991724E-9	-37.409443E+0	20.275387E-9	-37.263084E+0
200.00005E-3	20.001474E-9	-37.163406E+0	20.275550E-9	-38.360104E+0
207.84318E-3	20.002581E-9	-37.803463E+0	20.275683E-9	-37.719231E+0
215.68632E-3	20.008660E-9	-38.055664E+0	20.273864E-9	-37.644089E+0
223.52946E-3	20.012749E-9	-38.128967E+0	20.273438E-9	-37.319134E+0
231.37259E-3	20.016047E-9	-36.672348E+0	20.271116E-9	-37.455883E+0
239.21573E-3	20.024796E-9	-37.313728E+0	20.275964E-9	-36.793251E+0
247.05887E-3	20.029949E-9	-36.969368E+0	20.271427E-9	-36.400642E+0
254.90201E-3	20.030734E-9	-36.821545E+0	20.268066E-9	-37.550556E+0
262.74514E-3	20.038170E-9	-37.442070E+0	20.269354E-9	-37.943001E+0
270.58828E-3	20.040245E-9	-37.758488E+0	20.266679E-9	-36.228142E+0
278.43142E-3	20.050663E-9	-36.401703E+0	20.269187E-9	-36.053692E+0
286.27455E-3	20.054213E-9	-36.868374E+0	20.268496E-9	-37.033913E+0
294.11769E-3	20.060224E-9	-37.552757E+0	20.266627E-9	-36.720291E+0
301.96083E-3	20.066270E-9	-36.560287E+0	20.265535E-9	-36.279716E+0
309.80396E-3	20.061300E-9	-36.215424E+0	20.265533E-9	-36.250343E+0
317.64710E-3	20.067741E-9	-37.573780E+0	20.270523E-9	-36.793606E+0
325.49024E-3	20.072747E-9	-37.715630E+0	20.268160E-9	-36.238537E+0
333.33337E-3	20.074904E-9	-37.140568E+0	20.268338E-9	-35.918903E+0
341.17651E-3	20.082018E-9	-36.687469E+0	20.266171E-9	-37.219009E+0
349.01965E-3	20.084508E-9	-36.972549E+0	20.270161E-9	-37.110844E+0
356.86278E-3	20.087565E-9	-36.972950E+0	20.268379E-9	-35.641384E+0
364.70592E-3	20.089068E-9	-36.498405E+0	20.267839E-9	-36.213776E+0
372.54906E-3	20.096063E-9	-36.512726E+0	20.268859E-9	-36.988186E+0
380.39219E-3	20.100590E-9	-36.866394E+0	20.267155E-9	-36.708916E+0
388.23533E-3	20.102039E-9	-36.532612E+0	20.272994E-9	-35.598892E+0
396.07847E-3	20.107672E-9	-36.670452E+0	20.273299E-9	-36.647381E+0
403.92160E-3	20.109550E-9	-36.806152E+0	20.269884E-9	-36.818092E+0
411.76474E-3	20.113204E-9	-36.757191E+0	20.267672E-9	-34.833755E+0
419.60788E-3	20.117868E-9	-35.176975E+0	20.269196E-9	-35.144554E+0
427.45101E-3	20.116103E-9	-36.001431E+0	20.270402E-9	-36.293777E+0
435.29415E-3	20.120707E-9	-37.295559E+0	20.271701E-9	-35.985775E+0
443.13729E-3	20.125849E-9	-36.256966E+0	20.273990E-9	-35.555729E+0
450.98042E-3	20.131688E-9	-35.998821E+0	20.276067E-9	-36.271446E+0
458.82356E-3	20.137609E-9	-36.917763E+0	20.281140E-9	-36.873695E+0
466.66670E-3	20.139781E-9	-36.400387E+0	20.283712E-9	-35.472557E+0
474.50984E-3	20.146659E-9	-36.128841E+0	20.284252E-9	-36.486996E+0
482.35297E-3	20.148947E-9	-36.566135E+0	20.285391E-9	-36.586273E+0
490.19611E-3	20.148899E-9	-37.140770E+0	20.284935E-9	-36.785858E+0
498.03925E-3	20.154191E-9	-36.606213E+0	20.292008E-9	-35.754635E+0
505.88250E-3	20.159163E-9	-36.287197E+0	20.292763E-9	-35.824600E+0
513.72564E-3	20.161902E-9	-36.610981E+0	20.290052E-9	-36.463367E+0
521.56878E-3	20.162940E-9	-36.419617E+0	20.294804E-9	-35.596817E+0
529.41191E-3	20.165736E-9	-36.243324E+0	20.291660E-9	-35.573799E+0
537.25505E-3	20.170148E-9	-36.779812E+0	20.293806E-9	-36.664795E+0
545.09819E-3	20.172124E-9	-37.008301E+0	20.302769E-9	-36.458050E+0
552.94132E-3	20.172989E-9	-36.516758E+0	20.304636E-9	-35.731998E+0
560.78446E-3	20.175232E-9	-35.806339E+0	20.302668E-9	-35.697201E+0
568.62760E-3	20.178911E-9	-36.923336E+0	20.300138E-9	-36.438358E+0
576.47073E-3	20.179288E-9	-36.816963E+0	20.303318E-9	-36.189072E+0
584.31387E-3	20.184146E-9	-36.402309E+0	20.305317E-9	-35.089329E+0
592.15701E-3	20.186040E-9	-36.107212E+0	20.307066E-9	-36.197727E+0
600.00014E-3	20.188320E-9	-36.113499E+0	20.307832E-9	-36.760860E+0
607.84328E-3	20.194060E-9	-36.625362E+0	20.310347E-9	-35.139477E+0
615.68642E-3	20.194197E-9	-35.687416E+0	20.309667E-9	-35.586891E+0
623.52955E-3	20.195575E-9	-35.800850E+0	20.309686E-9	-36.227612E+0
631.37269E-3	20.196486E-9	-36.517487E+0	20.313841E-9	-35.917168E+0
639.21583E-3	20.199439E-9	-36.598194E+0	20.311550E-9	-35.356014E+0
647.05896E-3	20.202911E-9	-36.184399E+0	20.314740E-9	-36.523335E+0
654.90210E-3	20.203940E-9	-37.575146E+0	20.314443E-9	-36.684052E+0
662.74524E-3	20.203807E-9	-36.820736E+0	20.317087E-9	-35.346516E+0
670.58837E-3	20.202579E-9	-36.230961E+0	20.314310E-9	-35.813168E+0
678.43151E-3	20.207530E-9	-36.160465E+0	20.311015E-9	-37.095734E+0
686.27465E-3	20.211457E-9	-37.028862E+0	20.310887E-9	-37.105164E+0
694.11778E-3	20.214712E-9	-35.919838E+0	20.307663E-9	-35.737434E+0
701.96092E-3	20.217266E-9	-35.106865E+0	20.305041E-9	-36.352821E+0
709.80406E-3	20.220577E-9	-36.761589E+0	20.302666E-9	-37.076786E+0
717.64719E-3	20.225883E-9	-36.693123E+0	20.301334E-9	-36.867886E+0
725.49033E-3	20.226580E-9	-35.887951E+0	20.301647E-9	-36.205795E+0
733.33347E-3	20.228189E-9	-35.519173E+0	20.299758E-9	-37.450047E+0
741.17661E-3	20.233115E-9	-36.609478E+0	20.302046E-9	-37.515961E+0
749.01974E-3	20.231523E-9	-36.934994E+0	20.301020E-9	-37.141014E+0
756.86288E-3	20.236708E-9	-35.340343E+0	20.301323E-9	-37.116375E+0
764.70602E-3	20.236186E-9	-36.673119E+0	20.299812E-9	-37.574600E+0
